PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Link,IIIF manifest
,Lensbaron Rosenørn-Lehn,Orebygaard,Orebygaard,Denmark,Paris or N France,,France,,Paris?,1250-1275,,13,1250,1275,,,155,110,265,,,,1,540,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/746/dan/37/?var=
,A 166,Royal Swedish Library,Stockholm,Sweden,Paris,,France,,Paris,1250-1300,,13,1250,1300,,,300,195,495,,,,1,556,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/746/dan/37/?var=
,C 155,Uppsala UB,Uppsala,Sweden,Paris,,France,,Paris,1250-1300,,13,1250,1300,,,344,220,564,,,,1,448,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/746/dan/37/?var=
,Gl kgl S 3376 8vo,Royal Danish Library,Copenhagen,Denmark,France,,France,,,13,,13,,,,,140,90,230,,,,1,601,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 1 fol,Royal Danish Library,Copenhagen,Denmark,Italy,,Italy,,,13,,13,,,,,371,232,603,,,,1,337,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 1 4to,Royal Danish Library,Copenhagen,Denmark,France,,France,,,13,,13,,,,,240,165,405,,,,1,357,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 3 kvart,Royal Danish Library,Copenhagen,Denmark,France,,France,,,13,,13,,,,,190,130,320,,,,1,453,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 1 8vo,Royal Danish Library,Copenhagen,Denmark,France,,France,,,13,,13,,,,,152,110,262,,,,1,457,,,I,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 2 8vo,Royal Danish Library,Copenhagen,Denmark,?,,?,,,13,,13,,,,,152,90,242,,,,1,646,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 4 8vo,Royal Danish Library,Copenhagen,Denmark,France,,France,,,13,,13,,,,,150,97,247,,,,1,525,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Gl kgl S 1310 4to,Royal Danish Library,Copenhagen,Denmark,?,,?,,,13,,13,,,,,205,150,355,,,,1,276,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Gl kgl S 3375 8vo,Royal Danish Library,Copenhagen,Denmark,?,,?,,,late 13,,13,,,,,153,105,258,,,,1,257,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 2 4to,Royal Danish Library,Copenhagen,Denmark,France,,France,,,late 13 - early 14,,13/14,,,,,190,130,320,,,,1,477,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 3 8vo,Royal Danish Library,Copenhagen,Denmark,Bohemia,,Bohemia,,,14,,14,,,,,188,125,313,,,,1,470,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/4/
,Thott 5 8vo,Royal Danish Library,Copenhagen,Denmark,France,,France,,,13,,13,,,,,146,101,247,,,,1,503,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/8/?var=
,Thott 6 8vo,Royal Danish Library,Copenhagen,Denmark,France,,France,,,13,,13,,,,,160,110,270,,,,1,269,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/8/?var=
,Cod. Ser. n. 3349,Austrian National Library,Vienna,Austria,Southern England,,Southern England,,,1250-1299,,13,1250,1299,,,348,230,578,,285,175,frag,37,,,,,,,N,,,http://www5.kb.dk/permalink/2006/manus/699/dan/8/?var=
,La Bible de Léau,bibliothèque du séminaire de Liège,Liège,Belgium,Liège,y,Belgium,,Liège,1248,,13,,,,,465,350,815,,,,,,,,,,,,N,,,https://bibliosemliege.be/IMG/pdf/bible_de_leau-2.pdf
,Thott 7.2,Royal Danish Library,Copenhagen,Denmark,Paris,,France,,Paris,1275-1300,,13,1275,1300,,,380,300,680,,,,1,492,,,,,,,N,,,
,235,"Oxford, Merton College",Oxford,United Kingdom,,,,,,,,,,,,,,,0,,,,,,,,,,,,N,,,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_10333
,1181,Bibliothèque sainte Geneviève,Paris,France,,,France,Ile-de-France,Paris,,,13,1250,1275,,,,,0,,,,,,,,2,,,,N,,,
,2585,Bibliothèque sainte Geneviève,Paris,France,,,France,Ile-de-France,Paris?,,,13,1225,1250,,,,,0,,,,,,,,2,,,,N,,,
,54,Bibliothèque municipale,Alençon,France,,,France,Ile-de-France,Paris,,,13,1240,1250,,,,,0,,,,,,,,2,,,,N,,,
,8,Biblothèque municipale,Tours,France,,,Spain,Catalogna?,Unknown,,,14,ca. 1320,,,,,,0,,,,,,,,Unknown,,,,N,,,
,BS 75 125,U California Santa Barbara,"Santa Barbara, CA",United States of America,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,StBZ Pa 65,Stadtbibliothek Zofingen,Zofingen,Switzerland,France,Y,France,,,13,,13,,,,,,,0,,,,1,527,,,,,,,,,,
,15,Bibliothèque sainte Geneviève,Paris,France,,,France,Ile-de-France,Paris,,,13,1270,1300,,,,,0,,,,,,,,2,,,,N,,,http://www.calames.abes.fr/pub/#details?id=BSGA10019
,F 162,Worcester Cathedral Library,Worcester,England,,,,,,13,,13,,,,,,,,,,,,,,,,,,,,,,
,Q 83,Worcester Cathedral Library,Worcester,England,,,,,,14,,14,,,,,,,,,,,,,,,,,,,,,,
,A 168,Kungliga Biblioteket,Sweden,Stockholm,Sweden,,Sweden,,,1375-1400,,14,1375,1400,,,117,75,192,,,,,,,,,,,,,,,
,A 148,Kungliga Biblioteket,Sweden,Stockholm,Sweden,,Sweden,,,1200-1225,,13,1200,1225,,,900,500,1400,,,,,,,,,,,,,,,
,A 167,Kungliga Biblioteket,Sweden,Stockholm,Sweden,,Sweden,,,1300-1399,,14,1300,1399,,,258,187,445,,,,,,,,,,,,,,,
