PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,workshop/illuminator,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Catalogue link,IIIF manifest,Comments,team_member,,,,,,,,,,,,,,,,,,
41,Vat.lat.22,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,305,216,521,2,Unknown,Unknown,1,527,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Vat.lat.22,https://digi.vatlib.it/iiif/MSS_Vat.lat.22/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
42,Vat.lat.24,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,13th,,13,1201,1300,,,,234,160,394,2,Unknown,Unknown,1,632,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Vat.lat.24,https://digi.vatlib.it/iiif/MSS_Vat.lat.24/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
43,Vat.lat.25,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,13th,,13,1201,1300,,,,231,157,388,2,Unknown,Unknown,1,450,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Vat.lat.25,https://digi.vatlib.it/iiif/MSS_Vat.lat.25/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
44,Vat.lat.26,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,1375-1400,,14,1375,1400,,,,320,219,539,2,Unknown,Unknown,1,666,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.26/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
45,Vat.lat.27,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,13th c,,13,1201,1300,,,,205,138,343,1,Unknown,Unknown,1,360,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.27/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
46,Vat.lat.29,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,178,118,296,1,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.29/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
47,Vat.lat.30,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.30/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
48,Vat.lat.31,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,1376-1400,,14,1376,1400,,,,239,169,408,2,Unknown,Unknown,1,460,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.31/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
49,Vat.lat.33,Biblioteca Vaticana,Vatican,Vatican,France,Y,France,Unknown,Unknown,1276-1325,,13,1276,1325,,,,225,148,373,1,Unknown,Unknown,1,364,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.33/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
50,Vat.lat.34,Biblioteca Vaticana,Vatican,Vatican,Northern Italy,Y,Italy,North,Unknown,1376-1425,,14,1375,1425,,,,231,170,401,2,Unknown,Unknown,1,575,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.34/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
51,Vat.lat.35,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,237,155,392,2,Unknown,Unknown,1,358,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.35/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
52,Vat.lat.3513,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,13th,,13,1201,1300,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.3513/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
53,Vat.lat.36,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.36/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
54,Vat.lat.37,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,182,129,311,1,Unknown,Unknown,1,413,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.37/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
55,Vat.lat.48,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,324,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.48/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
56,Vat.lat.49,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,399,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.49/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
57,9,Bibliotheque mazarine,Paris,France,Paris (France),Y,France,Ile-de-France,Paris,1250-1274 (13e s. (troisieme quart)),,13,1251,1275,,,,318,218,536,2,Unknown,Unknown,1,488,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata4f64596fb2168644edfa79636f4d9cab56362446,,,DJW,,,,,,,,,,,,,,,,,,
